LC08_L1GT_019005_20220816_20220823_02_T2,LC08_L1GT_019005_20230429_20230509_02_T2
LC08_L1GT_035117_20231209_20231214_02_T2,LC08_L1GT_035117_20240211_20240222_02_T2
LC09_L1GT_210118_20211221_20230504_02_T2,LC08_L1GT_210118_20221114_20221122_02_T2
LC09_L1TP_231010_20230520_20230520_02_T1,LC09_L1TP_231010_20230707_20230707_02_T1
LC08_L1TP_054245_20220821_20220923_02_T1,LC08_L1GT_054245_20230824_20230905_02_T2
LC09_L1TP_142038_20220502_20230418_02_T1,LC08_L1TP_142038_20220830_20220910_02_T1
LC08_L1TP_142037_20230529_20230607_02_T1,LC08_L1TP_142037_20231105_20231110_02_T1
LC08_L1TP_142038_20220627_20220706_02_T1,LC08_L1TP_142038_20220830_20220910_02_T1
LC08_L1GT_080112_20211230_20220105_02_T2,LC08_L1GT_080112_20230102_20230111_02_T2
LC08_L1GT_198117_20220126_20220204_02_T2,LC09_L1GT_198117_20220219_20230427_02_T2
LC08_L1GT_077120_20211209_20211215_02_T2,LC08_L1GT_077120_20230113_20230130_02_T2
LC08_L1GT_006118_20211021_20211102_02_T2,LC09_L1GT_006118_20221219_20230317_02_T2
LC08_L1TP_231010_20220610_20220616_02_T1,LC09_L1TP_231010_20230707_20230707_02_T1
LC09_L1TP_027005_20220917_20230328_02_T1,LC09_L1TP_027005_20230616_20230616_02_T2
LC08_L1GT_019005_20220528_20220603_02_T2,LC08_L1GT_019005_20230429_20230509_02_T2
LC09_L1TP_142038_20211209_20230505_02_T1,LC08_L1TP_142038_20220830_20220910_02_T1
LC08_L1TP_054245_20220517_20220525_02_T1,LC08_L1GT_054245_20230824_20230905_02_T2
LC09_L1TP_058247_20220622_20230411_02_T1,LC08_L1TP_058247_20220801_20220805_02_T1
LC09_L1TP_008013_20230814_20230814_02_T1,LC09_L1TP_008013_20231001_20231001_02_T1
LC09_L1GT_025004_20230501_20230501_02_T2,LC08_L1GT_025004_20240308_20240315_02_T2
LC09_L1GT_118108_20220323_20230424_02_T2,LC09_L1GT_118108_20230902_20230902_02_T2
LC09_L1GT_080112_20221209_20230318_02_T2,LC08_L1GT_080112_20230102_20230111_02_T2
LC09_L1GT_120118_20221202_20230319_02_T2,LC09_L1GT_120118_20230103_20230315_02_T2
