reference_acquisition_month,count
202201,7
202202,72
202203,4
202204,1
202208,50
202209,19
202211,54
202212,92
202301,63
202302,48
202304,39
202305,27
202306,31
202307,72
202308,107
202309,20
202310,85
202311,88
202312,13
202401,41
202402,18
202403,72
202404,2
202405,55
202406,1
